"","title","author","subject","abstract","meta"
"35","Haris: an Advanced Autonomous Mobile Robot for Smart Parking Assistance","Layth Hamad, Muhammad Asif Khan, Hamid Menouar, Fethi Filali, Amr Mohamed","Robotics (cs.RO)","This paper presents Haris, an advanced autonomous mobile robot system for tracking the location of vehicles in crowded car parks using license plate recognition. The system employs simultaneous localization and mapping (SLAM) for autonomous navigation and precise mapping of the parking area, eliminating the need for GPS dependency. In addition, the system utilizes a sophisticated framework using computer vision techniques for object detection and automatic license plate recognition (ALPR) for reading and associating license plate numbers with location data. This information is subsequently synchronized with a back-end service and made accessible to users via a user-friendly mobile app, offering effortless vehicle location and alleviating congestion within the parking facility. The proposed system has the potential to improve the management of short-term large outdoor parking areas in crowded places such as sports stadiums. The demo of the robot can be found on this https URL.","Wed, 31 Jan 2024 11:00:26 UTC (16,997 KB)"
"36","Sigma-lognormal modeling of speech","C. Carmona-Duarte, M.A.Ferrer, R. Plamondon, A. Gomez-Rodellar, P. Gomez-Vilda","Neurons and Cognition (q-bio.NC)","Human movement studies and analyses have been fundamental in many scientific domains, ranging from neuroscience to education, pattern recognition to robotics, health care to sports, and beyond. Previous speech motor models were proposed to understand how speech movement is produced and how the resulting speech varies when some parameters are changed. However, the inverse approach, in which the muscular response parameters and the subject's age are derived from real continuous speech, is not possible with such models. Instead, in the handwriting field, the kinematic theory of rapid human movements and its associated Sigma-lognormal model have been applied successfully to obtain the muscular response parameters. This work presents a speech kinematics based model that can be used to study, analyze, and reconstruct complex speech kinematics in a simplified manner. A method based on the kinematic theory of rapid human movements and its associated Sigma lognormal model are applied to describe and to parameterize the asymptotic impulse response of the neuromuscular networks involved in speech as a response to a neuromotor command. The method used to carry out transformations from formants to a movement observation is also presented. Experiments carried out with the (English) VTR TIMIT database and the (German) Saarbrucken Voice Database, including people of different ages, with and without laryngeal pathologies, corroborate the link between the extracted parameters and aging, on the one hand, and the proportion between the first and second formants required in applying the kinematic theory of rapid human movements, on the other. The results should drive innovative developments in the modeling and understanding of speech kinematics.","Sat, 27 Jan 2024 18:00:20 UTC (2,295 KB)"
"37","Multi-Camera Asynchronous Ball Localization and Trajectory Prediction with Factor Graphs and Human Poses","Qingyu Xiao, Zulfiqar Zaidi, Matthew Gombolay","Robotics (cs.RO)","The rapid and precise localization and prediction of a ball are critical for developing agile robots in ball sports, particularly in sports like tennis characterized by high-speed ball movements and powerful spins. The Magnus effect induced by spin adds complexity to trajectory prediction during flight and bounce dynamics upon contact with the ground. In this study, we introduce an innovative approach that combines a multi-camera system with factor graphs for real-time and asynchronous 3D tennis ball localization. Additionally, we estimate hidden states like velocity and spin for trajectory prediction. Furthermore, to enhance spin inference early in the ball's flight, where limited observations are available, we integrate human pose data using a temporal convolutional network (TCN) to compute spin priors within the factor graph. This refinement provides more accurate spin priors at the beginning of the factor graph, leading to improved early-stage hidden state inference for prediction. Our result shows the trained TCN can predict the spin priors with RMSE of 5.27 Hz. Integrating TCN into the factor graph reduces the prediction error of landing positions by over 63.6% compared to a baseline method that utilized an adaptive extended Kalman filter.","Tue, 30 Jan 2024 17:13:29 UTC (4,669 KB)"
"38","Team game adaptive dynamics","Carl-Joar Karlsson, Philip Gerlee, Julie Rowlett","Dynamical Systems (math.DS)","Adaptive dynamics describes a deterministic approximation of the evolution of scalar- and function-valued traits. Applying it to the team game developed by Menden-Deuer and Rowlett [Menden-Deuer & Rowlett 2019], we constructed an evolutionary process in the game. We also refined the adaptive dynamics framework itself to a new level of mathamatical rigor. In our analysis, we demonstrated the existence of solutions to the adaptive dynamics for the team game and determined their regularity. Moreover, we identified all stationary solutions and proved that these are precisely the Nash equilibria of the team game. Numerical examples are provided to highlight the main characteristics of the dynamics. The linearity of the team game results in unstable dynamics; non-stationary solutions oscillate and perturbations of the stationary solutions do not shrink. Instead, a linear type of branching may occur. We finally discuss how to experimentally validate these results. Due to the abstract nature of the team game, our results could be applied to derive implications and predictions in several fields including biology, sports, and finance.","Tue, 30 Jan 2024 15:17:45 UTC (291 KB)"
"39","A comprehensive survey of the home advantage in American football","Luke S. Benz, Thompson J. Bliss, Michael J. Lopez","Applications (stat.AP)","The existence and justification to the home advantage -- the benefit a sports team receives when playing at home -- has been studied across sport. The majority of research on this topic is limited to individual leagues in short time frames, which hinders extrapolation and a deeper understanding of possible causes. Using nearly two decades of data from the National Football League (NFL), the National Collegiate Athletic Association (NCAA), and high schools from across the United States, we provide a uniform approach to understanding the home advantage in American football. Our findings suggest home advantage in declining in the NFL and the highest levels of collegiate football, but not in amateur football. This increases the possibility that characteristics of the NCAA and NFL, such as travel improvements and instant replay, have helped level the playing field.","Mon, 29 Jan 2024 18:33:22 UTC (2,494 KB)"
"40","ARGOS: An Automaton Referencing Guided Overtake System for Head-to-Head Autonomous Racing","Varundev Sukhil, Madhur Behl","Robotics (cs.RO)","Autonomous overtaking at high speeds is a challenging multi-agent robotics research problem. The high-speed and close proximity situations that arise in multi-agent autonomous racing require designing algorithms that trade off aggressive overtaking maneuvers and minimize the risk of collision with the opponent. In this paper, we study a special case of multi-agent autonomous race, called the head-to-head autonomous race, that requires two racecars with similar performance envelopes. We present a mathematical formulation of an overtake and position defense in this head-to-head autonomous racing scenario, and we introduce the Automaton Referencing Guided Overtake System (ARGOS) framework that supervises the execution of an overtake or position defense maneuver depending on the current role of the racecar. The ARGOS framework works by decomposing complex overtake and position-defense maneuvers into sequential and temporal submaneuvers that are individually managed and supervised by a network of automatons. We verify the properties of the ARGOS framework using model-checking and demonstrate results from multiple simulations, which show that the framework meets the desired specifications. The ARGOS framework performs similar to what can be observed from real-world human-driven motor sport racing.","Sun, 28 Jan 2024 22:21:38 UTC (2,225 KB)"
"41","Quantifying individual and team performance in cricket","Onkar Sadekar, Sandeep Chowdhary, M. S. Santhanam, Federico Battiston","Physics and Society (physics.soc-ph)","Advancements in technology have recently allowed to collect and analyze large-scale fine-grained data about human performance, drastically changing the way we approach sports. Here we provide the first comprehensive analysis of individual and team performance in cricket, one of the most popular sports in the world. We investigate temporal patterns of individual success, finding that the best performance of a player can happen at any time in their career, surrounded by a burst of comparable top performances. We show that long-term performance can be predicted from early observations and that temporary exclusions of players from teams are often due to declining performances but are also associated with strong comebacks. We demonstrate that teams are more likely to endure hot streaks of winning performances compared to random expectations, but also sequences of consecutive losses. We investigate the crucial contributions of specialists such as openers, all-rounders and wicket-keepers and show that a balanced performance from multiple individuals is required to ensure team success. Finally, we quantify how transitioning to captaincy in the team improves the performance of batsmen, but not that of bowlers. Our work emphasizes how individual endeavours and team dynamics interconnect and influence collective outcomes in sports.","Fri, 26 Jan 2024 19:13:54 UTC (2,258 KB)"
"42","Knowledge Guided Entity-aware Video Captioning and A Basketball Benchmark","Zeyu Xi, Ge Shi, Xuefen Li, Junchi Yan, Zun Li, Lifang Wu, Zilin Liu, Liang Wang","Computer Vision and Pattern Recognition (cs.CV)","Despite the recent emergence of video captioning models, how to generate the text description with specific entity names and fine-grained actions is far from being solved, which however has great applications such as basketball live text broadcast. In this paper, a new multimodal knowledge graph supported basketball benchmark for video captioning is proposed. Specifically, we construct a multimodal basketball game knowledge graph (KG_NBA_2022) to provide additional knowledge beyond videos. Then, a multimodal basketball game video captioning (VC_NBA_2022) dataset that contains 9 types of fine-grained shooting events and 286 players' knowledge (i.e., images and names) is constructed based on KG_NBA_2022. We develop a knowledge guided entity-aware video captioning network (KEANet) based on a candidate player list in encoder-decoder form for basketball live text broadcast. The temporal contextual information in video is encoded by introducing the bi-directional GRU (Bi-GRU) module. And the entity-aware module is designed to model the relationships among the players and highlight the key players. Extensive experiments on multiple sports benchmarks demonstrate that KEANet effectively leverages extera knowledge and outperforms advanced video captioning models. The proposed dataset and corresponding codes will be publicly available soon","Thu, 25 Jan 2024 02:08:37 UTC (8,512 KB)[v2] Wed, 28 Feb 2024 02:26:03 UTC (4,426 KB)"
"43","Assessment of Sports Concussion in Female Athletes: A Role for Neuroinformatics?","Rachel Edelstein, Sterling Gutterman, Benjamin Newman, John Darrell Van Horn","Machine Learning (stat.ML)","Over the past decade, the intricacies of sports-related concussions among female athletes have become readily apparent. Traditional clinical methods for diagnosing concussions suffer limitations when applied to female athletes, often failing to capture subtle changes in brain structure and function. Advanced neuroinformatics techniques and machine learning models have become invaluable assets in this endeavor. While these technologies have been extensively employed in understanding concussion in male athletes, there remains a significant gap in our comprehension of their effectiveness for female athletes. With its remarkable data analysis capacity, machine learning offers a promising avenue to bridge this deficit. By harnessing the power of machine learning, researchers can link observed phenotypic neuroimaging data to sex-specific biological mechanisms, unraveling the mysteries of concussions in female athletes. Furthermore, embedding methods within machine learning enable examining brain architecture and its alterations beyond the conventional anatomical reference frame. In turn, allows researchers to gain deeper insights into the dynamics of concussions, treatment responses, and recovery processes. To guarantee that female athletes receive the optimal care they deserve, researchers must employ advanced neuroimaging techniques and sophisticated machine-learning models. These tools enable an in-depth investigation of the underlying mechanisms responsible for concussion symptoms stemming from neuronal dysfunction in female athletes. This paper endeavors to address the crucial issue of sex differences in multimodal neuroimaging experimental design and machine learning approaches within female athlete populations, ultimately ensuring that they receive the tailored care they require when facing the challenges of concussions.","Tue, 23 Jan 2024 19:02:13 UTC (308 KB)[v2] Sat, 9 Mar 2024 11:36:52 UTC (342 KB)"
"44","Multi-modal News Understanding with Professionally Labelled Videos (ReutersViLNews)","Shih-Han Chou, Matthew Kowal, Yasmin Niknam, Diana Moyano, Shayaan Mehdi, Richard Pito, Cheng Zhang, Ian Knopke, Sedef Akinli Kocak, Leonid Sigal, Yalda Mohsenzadeh","Computer Vision and Pattern Recognition (cs.CV)","While progress has been made in the domain of video-language understanding, current state-of-the-art algorithms are still limited in their ability to understand videos at high levels of abstraction, such as news-oriented videos. Alternatively, humans easily amalgamate information from video and language to infer information beyond what is visually observable in the pixels. An example of this is watching a news story, where the context of the event can play as big of a role in understanding the story as the event itself. Towards a solution for designing this ability in algorithms, we present a large-scale analysis on an in-house dataset collected by the Reuters News Agency, called Reuters Video-Language News (ReutersViLNews) dataset which focuses on high-level video-language understanding with an emphasis on long-form news. The ReutersViLNews Dataset consists of long-form news videos collected and labeled by news industry professionals over several years and contains prominent news reporting from around the world. Each video involves a single story and contains action shots of the actual event, interviews with people associated with the event, footage from nearby areas, and more. ReutersViLNews dataset contains videos from seven subject categories: disaster, finance, entertainment, health, politics, sports, and miscellaneous with annotations from high-level to low-level, title caption, visual video description, high-level story description, keywords, and location. We first present an analysis of the dataset statistics of ReutersViLNews compared to previous datasets. Then we benchmark state-of-the-art approaches for four different video-language tasks. The results suggest that news-oriented videos are a substantial challenge for current video-language understanding algorithms and we conclude by providing future directions in designing approaches to solve the ReutersViLNews dataset.","Tue, 23 Jan 2024 00:42:04 UTC (30,203 KB)"
"45","zkLogin: Privacy-Preserving Blockchain Authentication with Existing Credentials","Foteini Baldimtsi, Konstantinos Kryptos Chalkias, Yan Ji, Jonas Lindstrøm, Deepak Maram, Ben Riva, Arnab Roy, Mahdi Sedaghat, Joy Wang","Cryptography and Security (cs.CR)","For many users, a private key based wallet serves as the primary entry point to blockchains. Commonly recommended wallet authentication methods, such as mnemonics or hardware wallets, can be cumbersome. This difficulty in user onboarding has significantly hindered the adoption of blockchain-based applications. We develop zkLogin, a novel technique that leverages identity tokens issued by popular platforms (any OpenID Connect enabled platform e.g. Google, Facebook, etc.) to authenticate transactions. At the heart of zkLogin lies a signature scheme allowing the signer to \textit{sign using their existing OpenID accounts} and nothing else. This improves the user experience significantly as users do not need to remember a new secret and can reuse their existing accounts. zkLogin provides strong security and privacy guarantees. By design, zkLogin builds on top of the underlying platform's authentication mechanisms, and derives its security from there. Unlike prior related works however, zkLogin avoids the use of additional trusted parties (e.g., trusted hardware or oracles) for its security guarantees. zkLogin leverages zero-knowledge proofs (ZKP) to ensure that the link between a user's off-chain and on-chain identities is hidden, even from the platform itself. We have implemented and deployed zkLogin on the Sui blockchain as an alternative to traditional digital signature-based addresses. Due to the ease of web3 on-boarding just with social login, without requiring mnemonics, many hundreds of thousands zkLogin accounts have already been generated in various industries such as gaming, DeFi, direct payments, NFT collections, ride sharing, sports racing and many more.","Mon, 22 Jan 2024 07:23:58 UTC (5,297 KB)"
"46","Jump off the Bandwagon? Characterizing Bandwagon Fans' Future Loyalty in Online NBA Fan Communities","Yichen Wang, Qin Lv","Computers and Society (cs.CY)","Online user dynamics has been actively studied in recent years and bandwagon behavior is one of the most representative topics which can provide valuable insights for user identity change. Many previous studies have characterized bandwagon users and leveraged such characteristics to tackle practical problems such as community loyalty prediction. However, very few of them have investigated bandwagon dynamics from a long-term perspective. In this work, we focus on characterizing and predicting long-term bandwagon user behaviors in the context of online fan loyalty. Using a dataset collected from NBA-related discussion forums on Reddit, we trace the long-term loyalty status of bandwagon fans to capture their latent behavioral characteristics and then propose a computational model to predict their next sport season loyalty status with their home teams. Our analyses reveal that bandwagoning for most fans is a temporary switch and most of them will be back in the long term. In addition, online fans with different loyalty levels to their home teams have demonstrated different behaviors in various aspects, such as activity level, language usage and reply network properties. We then propose a model based on such behavioral characteristics to predict their next-season loyalty status. Its promising performance demonstrates the effectiveness of our behavior characterization.","Sun, 21 Jan 2024 23:48:14 UTC (1,068 KB)"
"47","Multi-task Learning for Joint Re-identification, Team Affiliation, and Role Classification for Sports Visual Tracking","Amir M. Mansourian, Vladimir Somers, Christophe De Vleeschouwer, Shohreh Kasaei","Computer Vision and Pattern Recognition (cs.CV)","Effective tracking and re-identification of players is essential for analyzing soccer videos. But, it is a challenging task due to the non-linear motion of players, the similarity in appearance of players from the same team, and frequent occlusions. Therefore, the ability to extract meaningful embeddings to represent players is crucial in developing an effective tracking and re-identification system. In this paper, a multi-purpose part-based person representation method, called PRTreID, is proposed that performs three tasks of role classification, team affiliation, and re-identification, simultaneously. In contrast to available literature, a single network is trained with multi-task supervision to solve all three tasks, jointly. The proposed joint method is computationally efficient due to the shared backbone. Also, the multi-task learning leads to richer and more discriminative representations, as demonstrated by both quantitative and qualitative results. To demonstrate the effectiveness of PRTreID, it is integrated with a state-of-the-art tracking method, using a part-based post-processing module to handle long-term tracking. The proposed tracking method outperforms all existing tracking methods on the challenging SoccerNet tracking dataset.","Thu, 18 Jan 2024 12:45:14 UTC (8,587 KB)"
"48","Preprocessing-based Kinodynamic Motion Planning Framework for Intercepting Projectiles using a Robot Manipulator","Ramkumar Natarajan, Hanlan Yang, Qintong Xie, Yash Oza, Manash Pratim Das, Fahad Islam, Muhammad Suhail Saleem, Howie Choset, Maxim Likhachev","Robotics (cs.RO)","We are interested in studying sports with robots and starting with the problem of intercepting a projectile moving toward a robot manipulator equipped with a shield. To successfully perform this task, the robot needs to (i) detect the incoming projectile, (ii) predict the projectile's future motion, (iii) plan a minimum-time rapid trajectory that can evade obstacles and intercept the projectile, and (iv) execute the planned trajectory. These four steps must be performed under the manipulator's dynamic limits and extreme time constraints (<350ms in our setting) to successfully intercept the projectile. In addition, we want these trajectories to be smooth to reduce the robot's joint torques and the impulse on the platform on which it is mounted. To this end, we propose a kinodynamic motion planning framework that preprocesses smooth trajectories offline to allow real-time collision-free executions online. We present an end-to-end pipeline along with our planning framework, including perception, prediction, and execution modules. We evaluate our framework experimentally in simulation and show that it has a higher blocking success rate than the baselines. Further, we deploy our pipeline on a robotic system comprising an industrial arm (ABB IRB-1600) and an onboard stereo camera (ZED 2i), which achieves a 78% success rate in projectile interceptions.","Tue, 16 Jan 2024 00:19:40 UTC (21,414 KB)[v2] Thu, 7 Mar 2024 22:31:42 UTC (26,127 KB)"
"49","Transformer-based Video Saliency Prediction with High Temporal Dimension Decoding","Morteza Moradi, Simone Palazzo, Concetto Spampinato","Computer Vision and Pattern Recognition (cs.CV)","In recent years, finding an effective and efficient strategy for exploiting spatial and temporal information has been a hot research topic in video saliency prediction (VSP). With the emergence of spatio-temporal transformers, the weakness of the prior strategies, e.g., 3D convolutional networks and LSTM-based networks, for capturing long-range dependencies has been effectively compensated. While VSP has drawn benefits from spatio-temporal transformers, finding the most effective way for aggregating temporal features is still challenging. To address this concern, we propose a transformer-based video saliency prediction approach with high temporal dimension decoding network (THTD-Net). This strategy accounts for the lack of complex hierarchical interactions between features that are extracted from the transformer-based spatio-temporal encoder: in particular, it does not require multiple decoders and aims at gradually reducing temporal features' dimensions in the decoder. This decoder-based architecture yields comparable performance to multi-branch and over-complicated models on common benchmarks such as DHF1K, UCF-sports and Hollywood-2.","Mon, 15 Jan 2024 20:09:56 UTC (766 KB)"
"50","In-plane Density Gradation of Shoe Midsoles for Optimized Cushioning Performance","Kazi Zahir Uddin (1), Hai Anh Nguyen (1 and 2), Thanh T. Nguyen (2), Mitja Trkov (1), George Youssef (3), Behrad Koohbor (1 and 4) ((1) Department of Mechanical Engineering, Rowan University, NJ, USA, (2) Department of Mathematics, Rowan University, NJ, USA, (3) Experimental Mechanics Laboratory, Department of Mechanical Engineering, San Diego State University, CA, USA (4) Advanced Materials and Manufacturing Institute, Rowan University, NJ, USA)","Materials Science (cond-mat.mtrl-sci)","Midsoles are important components in footwear as they provide shock absorption and stability, thereby improving comfort and effectively preventing certain foot and ankle injuries. A rationally tailored midsole can potentially mitigate plantar pressure, improving performance and comfort levels. Despite the importance of midsole design, the potential of using in-plane density gradation in midsole has been rarely explored in earlier studies. The present work investigates the effectiveness of in-plane density gradation in shoe midsoles using a new class of polyurea foams as the material candidate. Their excellent cushioning properties justify the use of polyurea foams. Different polyurea foam densities, ranging from 95 to 350 kg/m3 are examined and tested to construct density-dependent correlative mathematical relations required for the optimization process. An optimization framework is then created to allocate foam densities at certain plantar zones based on the required cushioning performance constrained by the local pressures. The interior-point algorithm was used to solve the constrained optimization problem. The optimization algorithm introduces a novel approach, utilizing the maximum specific energy absorption as the objective function. The optimization process identifies specific foam densities at various plantar regions for maximum biomechanical energy dissipation without incurring additional weight penalties. Our results suggest midsole design can benefit from horizontal (in-plane) density gradation, leading to potential weight reduction and localized cushioning improvements. With local plantar peak pressure data analysis, the optimization results indicate low-density polyurea foams (140 kg/m3) for central and lateral phalanges, whereas stiffer foams (185-230 kg/m3) are identified as suitable candidates for metatarsal and arch regions in an in-plane density graded midsole design.","Sat, 13 Jan 2024 00:36:35 UTC (780 KB)"
"51","Early Career Wins and Tournament Prestige Characterize Tennis Players' Trajectories","Chiara Zappalà, Sandro Sousa, Tiago Cunha, Alessandro Pluchino, Andrea Rapisarda, Roberta Sinatra","Physics and Society (physics.soc-ph)","Success in sports is a complex phenomenon that has only garnered limited research attention. In particular, we lack a deep scientific understanding of success in sports like tennis and the factors that contribute to it. Here, we study the unfolding of tennis players' careers to understand the role of early career stages and the impact of specific tournaments on players' trajectories. We employ a comprehensive approach combining network science and analysis of ATP tournament data and introduce a novel method to quantify tournament prestige based on the eigenvector centrality of the co-attendance network of tournaments. Focusing on the interplay between participation in central tournaments and players' performance, we find that the level of the tournament where players achieve their first win is associated with becoming a top player. This work sheds light on the critical role of the initial stages in the progression of players' careers, offering valuable insights into the dynamics of success in tennis.","Fri, 12 Jan 2024 09:59:32 UTC (2,981 KB)"
"52","TRACE: A Time-Relational Approximate Cubing Engine for Fast Data Insights","Suharsh Sivakumar, Jonathan Shen, Rajat Monga","Information Retrieval (cs.IR)","A large class of data questions can be modeled as identifying important slices of data driven by user defined metrics. This paper presents TRACE, a Time-Relational Approximate Cubing Engine that enables interactive analysis on such slices with a low upfront cost - both in space and computation. It does this by materializing the most important parts of the cube over time enabling interactive querying for a large class of analytical queries e.g. what part of my business has the highest revenue growth ([SubCategory=Sports Equipment, Gender=Female]), what slices are lagging in revenue per user ([State=CA, Age=20-30]). Many user defined metrics are supported including common aggregations such as SUM, COUNT, DISTINCT COUNT and more complex ones such as AVERAGE. We implemented and deployed TRACE for a variety of business use cases.","Fri, 12 Jan 2024 03:14:03 UTC (202 KB)"
"53","Machine Learning Applications in Spine Biomechanics","Farshid Ghezelbash, Amir Hossein Eskandari, Xavier Robert-Lachaine, Frank Cao, Mehran Pesteie, Zhuohua Qiao, Aboulfazl Shirazi-Adl, Christian Larivière","Image and Video Processing (eess.IV)","Spine biomechanics is at a transformation with the advent and integration of machine learning and computer vision technologies. These novel techniques facilitate the estimation of 3D body shapes, anthropometrics, and kinematics from as simple as a single-camera image, making them more accessible and practical for a diverse range of applications. This study introduces a framework that merges these methodologies with traditional musculoskeletal modeling, enabling comprehensive analysis of spinal biomechanics during complex activities from a single camera. Additionally, we aim to evaluate their performance and limitations in spine biomechanics applications. The real-world applications explored in this study include assessment in workplace lifting, evaluation of whiplash injuries in car accidents, and biomechanical analysis in professional sports. Our results demonstrate potential and limitations of various algorithms in estimating body shape, kinematics, and conducting in-field biomechanical analyses. In industrial settings, the potential to utilize these new technologies for biomechanical risk assessments offers a pathway for preventive measures against back injuries. In sports activities, the proposed framework provides new opportunities for performance optimization, injury prevention, and rehabilitation. The application in forensic domain further underscores the wide-reaching implications of this technology. While certain limitations were identified, particularly in accuracy of predictions, complex interactions, and external load estimation, this study demonstrates their potential for advancement in spine biomechanics, heralding an optimistic future in both research and practical applications.","Wed, 10 Jan 2024 04:45:12 UTC (2,538 KB)"
"54","XGBoost Learning of Dynamic Wager Placement for In-Play Betting on an Agent-Based Model of a Sports Betting Exchange","Chawin Terawong, Dave Cliff","Machine Learning (cs.LG)","We present first results from the use of XGBoost, a highly effective machine learning (ML) method, within the Bristol Betting Exchange (BBE), an open-source agent-based model (ABM) designed to simulate a contemporary sports-betting exchange with in-play betting during track-racing events such as horse races. We use the BBE ABM and its array of minimally-simple bettor-agents as a synthetic data generator which feeds into our XGBoost ML system, with the intention that XGBoost discovers profitable dynamic betting strategies by learning from the more profitable bets made by the BBE bettor-agents. After this XGBoost training, which results in one or more decision trees, a bettor-agent with a betting strategy determined by the XGBoost-learned decision tree(s) is added to the BBE ABM and made to bet on a sequence of races under various conditions and betting-market scenarios, with profitability serving as the primary metric of comparison and evaluation. Our initial findings presented here show that XGBoost trained in this way can indeed learn profitable betting strategies, and can generalise to learn strategies that outperform each of the set of strategies used for creation of the training data. To foster further research and enhancements, the complete version of our extended BBE, including the XGBoost integration, has been made freely available as an open-source release on GitHub.","Thu, 11 Jan 2024 18:03:17 UTC (3,161 KB)"
"55","Robust CNN-based Respiration Rate Estimation for Smartwatch PPG and IMU","Kianoosh Kazemi, Iman Azimi, Pasi Liljeberg, Amir M. Rahmani","Signal Processing (eess.SP)","Respiratory rate (RR) serves as an indicator of various medical conditions, such as cardiovascular diseases and sleep disorders. These RR estimation methods were mostly designed for finger-based PPG collected from subjects in stationary situations (e.g., in hospitals). In contrast to finger-based PPG signals, wrist-based PPG are more susceptible to noise, particularly in their low frequency range, which includes respiratory information. Therefore, the existing methods struggle to accurately extract RR when PPG data are collected from wrist area under free-living conditions. The increasing popularity of smartwatches, equipped with various sensors including PPG, has prompted the need for a robust RR estimation method. In this paper, we propose a convolutional neural network-based approach to extract RR from PPG, accelerometer, and gyroscope signals captured via smartwatches. Our method, including a dilated residual inception module and 1D convolutions, extract the temporal information from the signals, enabling RR estimation. Our method is trained and tested using data collected from 36 subjects under free-living conditions for one day using Samsung Gear Sport watches. For evaluation, we compare the proposed method with four state-of-the-art RR estimation methods. The RR estimates are compared with RR references obtained from a chest-band device. The results show that our method outperforms the existing methods with the Mean-Absolute-Error and Root-Mean-Square-Error of 1.85 and 2.34, while the best results obtained by the other methods are 2.41 and 3.29, respectively. Moreover, compared to the other methods, the absolute error distribution of our method was narrow (with the lowest median), indicating a higher level of agreement between the estimated and reference RR values.","Wed, 10 Jan 2024 15:15:46 UTC (15,002 KB)"
"56","Clinical Applications of Plantar Pressure Measurement","Kelsey Detels, David Shin, Harrison Wilson, Shanni Zhou, Andrew Chen, Jessica Rosendorf, Atta Taseh, Bardiya Akhbari, Joseph H. Schwab, Hamid Ghaednia","Signal Processing (eess.SP)","Plantar pressure measurements can provide valuable insight into various health characteristics in patients. In this study, we describe different plantar pressure devices available on the market and their clinical relevance. Current devices are either platform-based or wearable and consist of a variety of sensor technologies: resistive, capacitive, piezoelectric, and optical. The measurements collected from any of these sensors can be utilized for a range of clinical applications including patients with diabetes, trauma, deformity and cerebral palsy, stroke, cervical myelopathy, ankle instability, sports injuries, and Parkinsons disease. However, the proper technology should be selected based on the clinical need and the type of tests being performed on the device. In this review we provide the reader with a simple overview of the existing technologies their advantages and disadvantages and provide application examples for each. Moreover, we suggest new areas in orthopaedic that plantar pressure mapping technology can be utilized for increased quality of care.","Tue, 9 Jan 2024 21:28:58 UTC (676 KB)"
"57","Optimal strategy for trail running with nutrition and fatigue factors","Bogna Jaszczak, Łukasz Płociniczak","Optimization and Control (math.OC)","This paper presents an extension of Keller's classical model to address the dynamics of long-distance trail running, a sport characterized by varying terrains, changing elevations, and the critical influence of in-race nutrition uptake. The optimization of the generalized Keller's model is achieved through rigorous application of optimal control theory, specifically the Pontryagin Maximum Principle. This theoretical framework allows us to derive optimal control strategies that enhance the runner's performance, taking into account the constraints imposed by the changing terrain, nutritional dynamics, and the evolving fatigue factor. To validate the practical applicability of the model, simulations are performed using real-world data obtained from various mountain races. The scenarios cover various trail conditions and elevation profiles. The performance of the model is systematically evaluated against these scenarios, demonstrating its ability to capture the complexities inherent in long-distance trail running and providing valuable insight into optimal race strategies. The error in the total race-time prediction is of the order of several percent, which may give the runner a reliable tool for choosing an optimal strategy before the actual race.","Fri, 5 Jan 2024 17:55:20 UTC (982 KB)"
"58","Model-Agnostic Interpretation Framework in Machine Learning: A Comparative Study in NBA Sports","Shun Liu","Machine Learning (cs.LG)","The field of machine learning has seen tremendous progress in recent years, with deep learning models delivering exceptional performance across a range of tasks. However, these models often come at the cost of interpretability, as they operate as opaque ""black boxes"" that obscure the rationale behind their decisions. This lack of transparency can limit understanding of the models' underlying principles and impede their deployment in sensitive domains, such as healthcare or finance. To address this challenge, our research team has proposed an innovative framework designed to reconcile the trade-off between model performance and interpretability. Our approach is centered around modular operations on high-dimensional data, which enable end-to-end processing while preserving interpretability. By fusing diverse interpretability techniques and modularized data processing, our framework sheds light on the decision-making processes of complex models without compromising their performance. We have extensively tested our framework and validated its superior efficacy in achieving a harmonious balance between computational efficiency and interpretability. Our approach addresses a critical need in contemporary machine learning applications by providing unprecedented insights into the inner workings of complex models, fostering trust, transparency, and accountability in their deployment across diverse domains.","Fri, 5 Jan 2024 04:25:21 UTC (1,227 KB)"
"59","Sports-QA: A Large-Scale Video Question Answering Benchmark for Complex and Professional Sports","Haopeng Li, Andong Deng, Qiuhong Ke, Jun Liu, Hossein Rahmani, Yulan Guo, Bernt Schiele, Chen Chen","Computer Vision and Pattern Recognition (cs.CV)","Reasoning over sports videos for question answering is an important task with numerous applications, such as player training and information retrieval. However, this task has not been explored due to the lack of relevant datasets and the challenging nature it presents. Most datasets for video question answering (VideoQA) focus mainly on general and coarse-grained understanding of daily-life videos, which is not applicable to sports scenarios requiring professional action understanding and fine-grained motion analysis. In this paper, we introduce the first dataset, named Sports-QA, specifically designed for the sports VideoQA task. The Sports-QA dataset includes various types of questions, such as descriptions, chronologies, causalities, and counterfactual conditions, covering multiple sports. Furthermore, to address the characteristics of the sports VideoQA task, we propose a new Auto-Focus Transformer (AFT) capable of automatically focusing on particular scales of temporal information for question answering. We conduct extensive experiments on Sports-QA, including baseline studies and the evaluation of different methods. The results demonstrate that our AFT achieves state-of-the-art performance.","Wed, 3 Jan 2024 02:22:34 UTC (13,950 KB)[v2] Sun, 7 Jan 2024 02:58:51 UTC (13,950 KB)[v3] Wed, 14 Feb 2024 23:58:27 UTC (17,652 KB)"
